RefSOUSSOUSDomaineF,RefSOUSDomaineF,Le_nom,Description,Notes,Nombre_avis,Duree,Niveau,Liens,MotsCles
CEGOS_DomaineF-22-01-14,CEGOS_DomaineF-22-01,Réglementation environnementale,,,,0,,https://www.cegos.fr/formations/qualite-sante-securite-environnement/reglementation-environnementale,"reglementation, environnementale"
CEGOS_DomaineF-23-01-01,CEGOS_DomaineF-23-01,Urbanisation et Architecture du Système d''Information,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/urbanisation-et-architecture-du-systeme-dinformation,"urbanisation, architecture, systeme, information"
CEGOS_DomaineF-23-01-02,CEGOS_DomaineF-23-01,Piloter un portefeuille de projets ou un programme,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/piloter-un-portefeuille-de-projets-ou-un-programme,"piloter, portefeuille, projets, programme"
CEGOS_DomaineF-23-01-03,CEGOS_DomaineF-23-01,3h chrono pour appréhender la sobriété numérique,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/3h-chrono-pour-apprehender-la-sobriete-numerique,"chrono, apprehender, sobriete, numerique"
CEGOS_DomaineF-23-01-04,CEGOS_DomaineF-23-01,Numérique Responsable,,,,0,,https://www.cegos.fr/formations/rse-et-developpement-durable/numerique-responsable,"numerique, responsable"
CEGOS_DomaineF-23-02-01,CEGOS_DomaineF-23-02,Cloud : définir sa stratégie,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/cloud-definir-sa-strategie,"cloud, definir, strategie"
CEGOS_DomaineF-23-02-02,CEGOS_DomaineF-23-02,DSI : intégrer le Big Data dans les systèmes d''information,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/dsi-integrer-le-big-data-dans-les-systemes-dinformation,"dsi, integrer, systemes, information"
CEGOS_DomaineF-23-03-01,CEGOS_DomaineF-23-03,DPO - Data Protection Officer,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/dpo-data-protection-officer,"dpo, protection, officer"
CEGOS_DomaineF-23-04-01,CEGOS_DomaineF-23-04,Initiation aux méthodes Agiles,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/gestion-de-projet-agile-les-fondamentaux,"initiation, methodes, agiles"
CEGOS_DomaineF-23-04-02,CEGOS_DomaineF-23-04,Devenir coach agile,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/devenir-coach-agile,"devenir, coach, agile"
CEGOS_DomaineF-23-04-03,CEGOS_DomaineF-23-04,Mettre en place une démarche Agile,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/mettre-en-place-une-demarche-agile,"mettre, place, demarche, agile"
CEGOS_DomaineF-23-04-04,CEGOS_DomaineF-23-04,Formation certifiante Scrum Master,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/formation-certifiante-scrum-master,"formation, certifiante, scrum, master"
CEGOS_DomaineF-23-04-05,CEGOS_DomaineF-23-04,Formation certifiante Scrum Product Owner,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/formation-certifiante-scrum-product-owner,"formation, certifiante, scrum, product, owner"
CEGOS_DomaineF-23-04-06,CEGOS_DomaineF-23-04,Disciplined agile® Scrum Master (DASM),,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/disciplined-agile-scrum-master-dasm,"disciplined, agiler, scrum, master, dasm"
CEGOS_DomaineF-23-04-07,CEGOS_DomaineF-23-04,Obtenir la Certification AgilePM® - Agile Project Management Foundation,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/obtenir-la-certification-agilepm-agile-project-management-foundation,"obtenir, certification, agilepmr, agile, project, foundation"
CEGOS_DomaineF-23-04-08,CEGOS_DomaineF-23-04,Obtenir la Certification AgilePM® - Agile Project Management Practitioner,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/obtenir-la-certification-agilepm-agile-project-management-practitioner,"obtenir, certification, agilepmr, agile, project, practitioner"
CEGOS_DomaineF-23-04-09,CEGOS_DomaineF-23-04,DevOps Foundation,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/devops-foundation,foundation
CEGOS_DomaineF-23-04-10,CEGOS_DomaineF-23-04,Leading SAFe® : certification SAFe Agilist,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/leading-safe-certification-safe-agilist,"leading, safer, certification, safe, agilist"
CEGOS_DomaineF-23-04-11,CEGOS_DomaineF-23-04,Gestion de projet : gagner en agilité avec une approche hybride,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/gestion-de-projet-gagner-en-agilite-avec-une-approche-hybride,"gestion, projet, gagner, approche, hybride"
CEGOS_DomaineF-23-05-01,CEGOS_DomaineF-23-05,Acquérir une culture informatique pour mieux collaborer,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/acquerir-une-culture-informatique-pour-mieux-collaborer,"acquerir, culture, informatique, collaborer"
CEGOS_DomaineF-23-05-02,CEGOS_DomaineF-23-05,Manager un projet informatique,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/manager-un-projet-informatique,"manager, projet, informatique"
CEGOS_DomaineF-23-05-03,CEGOS_DomaineF-23-05,Business analyst,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/business-analyst,"business, analyst"
CEGOS_DomaineF-23-05-04,CEGOS_DomaineF-23-05,Chef de projet informatique,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/chef-de-projet-informatique-2,"chef, projet, informatique"
CEGOS_DomaineF-23-05-05,CEGOS_DomaineF-23-05,PRINCE2® Practitioner,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/prince2-practitioner,"princer, practitioner"
